MMSI,LATITUDE,LONGITUDE,Diff,SPEED_BEFORE,LENGTH,BREADTH,NAME,AISTYPE
373607000,1.3681930914049292,104.40520340215505,-190,9.1,180,30,GLOBAL AMBITION,70
232011742,1.1379386677859118,104.09152791574842,-106,7.1,327,57,BERGE LOGAN,70
533150037,1.3087347533054534,104.26633171939736,-278,0.2,89,13,RUYI SATU,80
533170482,1.4304404339221624,104.48135522422297,-219,14.8,154,25,DANUM 168,72
355902000,1.9297966259808037,105.03106395232675,-104,15.4,182,28,UNI-PREMIER,73
477712400,1.5642228653661483,104.49267487045697,-104,18.2,400,60,CSCL GLOBE,71
533000330,1.3363499999999993,104.09288000000001,-108,0.0,85,17,NAUTICA JOHOR BAHRU,80
533170354,1.3322842384987406,104.10318076635372,-108,0.2,90,13,SHIMA MARU       .,80
538005592,1.2947710110151838,104.33371675163953,-108,7.8,222,30,JEJU ISLAND,79
525888888,1.0513627737181703,104.21069073328574,-109,0.1,75,14,BERKAT ANUGERAH 05,80
533130712,1.3376614141997503,104.10492034218117,-276,0.1,69,11,SARANA PRIMA,80
405000249,1.431378140155161,104.22779805189208,-108,12.3,190,31,ZAHAB JAHAN,70
533000075,1.3288499999999923,104.25658,-106,0.0,68,15,TEGUH 9,80
566886000,1.798184142846583,104.5607169199105,-100,17.6,259,37,WAN HAI 516,70
319118900,1.6688431400943173,104.31664616402259,-100,13.9,127,20,STOLT SATSUKI,82
356426000,0.2776091542075019,104.88026,-99,15.3,0,0,LADY OF LUCK,79
563546000,1.3064347999999977,104.0682944,-123,0.0,53,9,MARINE PRESTIGE,80
525008016,1.0972784133507238,104.18578973574887,-104,0.1,149,26,MT PUNGUT,80
256728000,1.6890119931479348,104.64049747561812,-103,12.0,185,30,HARIS,70
356565000,1.1858554650989956,104.08941471285364,-112,10.3,293,40,MOL PREMIUM,70
376307000,1.357157030124187,104.41278945949155,-123,12.4,146,25,WEST SCENT,70
574383000,1.514599803427383,104.55192731937092,-102,10.5,129,20,PETROLIMEX12,80
416462000,1.3083300000000049,104.0595482,-102,0.0,300,50,CHINA STEEL REALIST,70
563027990,1.297432983765001,104.09288325313278,-122,0.2,45,11,STAR 2,80
533001350,1.322452471442781,104.22799013709711,-101,0.1,75,12,STRAITS 3,80
525013031,1.006070294035271,104.21975047692256,-121,4.7,113,19,TANTO SUBUR I,70
255805675,1.168311645979099,104.31289812728257,-100,12.4,277,40,LISBON,71
525100992,1.040364630555554,104.21237666944445,-148,0.0,85,13,MT NOER POPPY,80
357493000,1.7801103891985555,104.6266055680268,-107,13.4,285,40,EVER URANUS,74
563783000,1.3607792088863804,104.10746444427345,-105,5.7,90,20,PAC BANDA,70
533000711,1.3243171779800638,104.16592599074602,-266,0.1,106,19,JM SUTERA 5,89
636017493,1.2053266025984701,104.15870580000477,-114,13.5,199,32,NAUTICAL ANNE,70
533130542,1.3239553746514132,104.22439526986832,-142,0.0,48,8,ESCOLAR,80
351663000,1.443810409462284,104.47566991397167,-101,13.3,193,28,KANWAY GALAXY,70
353603000,1.2257683310550243,104.070746852567,-102,7.6,114,18,EASTERN QUEST,82
566842000,1.3181381343098402,104.07420149000578,-234,0.2,90,16,HUMBER,80
525008100,1.086985636176298,104.1582890501465,-221,0.1,90,14,MT MUSI,80
613003554,1.3581260406928566,104.33638283937101,-223,0.3,192,32,NEW ORION,70
566103000,1.3286547807621014,104.2565882045604,-201,0.1,118,18,SOUTHERNPEC 11,80
533060200,1.3145493482651514,104.13404080844205,-195,0.1,101,19,ORKIM EXPRESS,80
376344000,1.1076014881358291,104.19009737361533,-196,0.1,190,32,FANEROMENI,70
525200750,1.0374800000000002,104.13441326183433,-162,0.0,66,11,MT RIZKI BAROKAH,80
525019521,1.0998491388888891,104.18060911111111,-183,0.0,117,20,SINAR AGRA,82
533001080,1.3189264444190163,104.22552324067617,-174,0.2,47,0,RAMAI SUTERA,80
466543000,1.4433816409454514,104.71127650353795,-133,15.4,247,32,MAJD,70
533001330,1.3278000308239357,104.22364527243755,-165,0.1,71,12,ACE SHANGHAI,84
538004220,1.2922901886706741,104.0584745550789,-160,0.1,289,45,CAPE ISTANBUL,70
533005700,1.3193380770408574,104.22232114694486,-157,0.2,75,11,RAHMAT,80
477176700,1.4483258658319484,104.51501608902153,-147,10.9,163,28,MCC HA LONG,71
215002000,1.3208311982765668,104.12294117471693,-135,0.2,172,28,FILIA T,79
373727000,1.5705,104.5779,-5,12.2,289,45,HL BALTIMORE,70
533131038,1.3075,104.1509,-39,0.2,110,19,ARWEN,84
563625000,1.3191,104.1129,-147,0.3,146,22,KOTA RAJIN,70
533056300,1.3127,104.1427,-25,0.1,102,19,ORKIM MERIT,80
533036600,1.3454,104.0911,-85,0.0,131,18,JM SUTERA 6,80
564029000,1.2543,104.1108,0,13.6,147,24,CHANA BHUM,90
564391000,1.2786,104.1355,-27,9.1,164,26,ALS SUMIRE,70
533064300,1.3458,104.0956,-34,0.0,81,10,YUHOMARU,80
440198000,1.3367,104.1093,-157,0.1,97,16,DL BEGONIA,81
525018505,1.0922,104.1756,-118,0.2,160,26,LPG/C SALMON MUSTAFA,84
533170319,1.3097,104.098,-95,11.6,140,20,HARBOUR ZENITH,70
525011092,1.1155,104.1872,-24,0.0,160,11,MT.ONTARI,80
240271000,1.3307,104.1091,-205,0.2,190,32,ANNITA,70
525008027,1.0671,104.2128,-104,0.0,100,30,MT SINDANG,80
310703000,1.3339,104.0967,-29,0.0,128,20,SICHEM HONG KONG,80
525011107,1.0568,104.2086,-103,0.0,88,13,COSMIC 9,80
371321000,1.3378,104.0995,-68,0.0,120,20,SUPER EASTERN,80
538004918,1.2989,104.093,-47,0.2,361,65,SEA TUBARAO,70
563055800,1.5352,104.5099,-88,0.0,162,26,CHERRY,70
636091595,1.5057,104.8243,-82,0.1,294,32,CHICAGO,70
441548000,1.2955,104.2771,0,14.8,294,32,ANL WENDOUREE,71
