MMSI,LATITUDE,LONGITUDE,Diff,SPEED_BEFORE,LENGTH,BREADTH,NAME,AISTYPE
373607000,1.3691944742712796,104.404993659975,-190,9.1,180,30,GLOBAL AMBITION,70
232011742,1.135533761149304,104.09205849349975,-106,7.1,327,57,BERGE LOGAN,70
533150037,1.308873172255428,104.26625746683213,-278,0.2,89,13,RUYI SATU,80
533170482,1.435532720744492,104.48032519764445,-219,14.8,154,25,DANUM 168,72
355902000,1.931599196581967,105.03068518078278,-104,15.4,182,28,UNI-PREMIER,73
477712400,1.5690142132188247,104.49164192949556,-104,18.2,400,60,CSCL GLOBE,71
533000330,1.3363852566142485,104.09287662861733,-108,0.0,85,17,NAUTICA JOHOR BAHRU,80
533170354,1.3323720861036867,104.10316962369208,-108,0.2,90,13,SHIMA MARU       .,80
538005592,1.292724628468879,104.33408058688146,-108,7.8,222,30,JEJU ISLAND,79
525888888,1.0514005340528714,104.21073272006203,-109,0.1,75,14,BERKAT ANUGERAH 05,80
533130712,1.337677837868807,104.10491015114516,-276,0.1,69,11,SARANA PRIMA,80
405000249,1.431596999726225,104.22774535294364,-108,12.3,190,31,ZAHAB JAHAN,70
533000075,1.3288368003167326,104.25658995796557,-106,0.0,68,15,TEGUH 9,80
566886000,1.7887745928179701,104.56269120261688,-100,17.6,259,37,WAN HAI 516,70
319118900,1.6756717242229833,104.31516801965752,-100,13.9,127,20,STOLT SATSUKI,82
356426000,0.2776091542075019,104.88026,-99,15.3,0,0,LADY OF LUCK,79
563546000,1.3064531959497536,104.06826529779184,-123,0.0,53,9,MARINE PRESTIGE,80
525008016,1.0973119932318038,104.18582224635702,-104,0.1,149,26,MT PUNGUT,80
256728000,1.6898971881206304,104.64028668091741,-103,12.0,185,30,HARIS,70
356565000,1.1809005109575643,104.09045645400329,-112,10.3,293,40,MOL PREMIUM,70
376307000,1.3620143430065037,104.4117222541538,-123,12.4,146,25,WEST SCENT,70
574383000,1.519930713553413,104.55080442347109,-102,10.5,129,20,PETROLIMEX12,80
416462000,1.308353800243178,104.05951429757114,-102,0.0,300,50,CHINA STEEL REALIST,70
563027990,1.2975221473455234,104.09280407728522,-122,0.2,45,11,STAR 2,80
533001350,1.3224978266902023,104.22798009864243,-101,0.1,75,12,STRAITS 3,80
525013031,1.0084106658135874,104.21924211997307,-121,4.7,113,19,TANTO SUBUR I,70
255805675,1.16184288686496,104.31426979974806,-100,12.4,277,40,LISBON,71
525100992,1.0404023251654344,104.21238449702476,-148,0.0,85,13,MT NOER POPPY,80
357493000,1.7721980426831185,104.6282124999293,-107,13.4,285,40,EVER URANUS,74
563783000,1.3635662148869185,104.10686033967951,-105,5.7,90,20,PAC BANDA,70
533000711,1.3243273840127667,104.16590113037056,-266,0.1,106,19,JM SUTERA 5,89
636017493,1.204539901647853,104.15887634559026,-114,13.5,199,32,NAUTICAL ANNE,70
533130542,1.323940827437691,104.22437424512452,-142,0.0,48,8,ESCOLAR,80
351663000,1.4436936923925072,104.47568784661065,-101,13.3,193,28,KANWAY GALAXY,70
353603000,1.2294060552775072,104.06992370476563,-102,7.6,114,18,EASTERN QUEST,82
566842000,1.3182677611743592,104.07415811951687,-234,0.2,90,16,HUMBER,80
525008100,1.0870226286985203,104.15831622507741,-221,0.1,90,14,MT MUSI,80
613003554,1.3580922112195626,104.33633783929086,-223,0.3,192,32,NEW ORION,70
566103000,1.3286877439252431,104.2565291989493,-201,0.1,118,18,SOUTHERNPEC 11,80
533060200,1.314609358320094,104.13404756187636,-195,0.1,101,19,ORKIM EXPRESS,80
376344000,1.1076106445171539,104.19009381785769,-196,0.1,190,32,FANEROMENI,70
525200750,1.0374910254212568,104.13440615451974,-162,0.0,66,11,MT RIZKI BAROKAH,80
525019521,1.09983659731744,104.18061093530493,-183,0.0,117,20,SINAR AGRA,82
533001080,1.3189689327806828,104.22550191923722,-174,0.2,47,0,RAMAI SUTERA,80
466543000,1.4359096609707112,104.7128064568386,-133,15.4,247,32,MAJD,70
533001330,1.3278813977353325,104.2236450640493,-165,0.1,71,12,ACE SHANGHAI,84
538004220,1.2922526190588481,104.05846276583895,-160,0.1,289,45,CAPE ISTANBUL,70
533005700,1.3194459726631993,104.22228094375036,-157,0.2,75,11,RAHMAT,80
477176700,1.4513321682727314,104.51440365055848,-147,10.9,163,28,MCC HA LONG,71
215002000,1.320883161015718,104.12291630162625,-135,0.2,172,28,FILIA T,79
373727000,1.5635071514625951,104.57937555372115,-5,12.2,289,45,HL BALTIMORE,70
