MMSI,Detected_lat,Detected_lon,AIS_lat,AIS_lon,Distance_error,xpixel,ypixel,LENGTH_detected,LENGTH,BREADTH_detected,BREADTH,incidence_angle,NAME,AISTYPE,Total Pixel,Max_value,Significance
341611000,18.924825,72.866922,18.9248,72.8668,13.130129725043956,8882,11947,85,110,66,14,35.953,S CAS,52,59,297.0,8.351
419104000,18.956207,72.859282,18.9563,72.8592,13.464897484354998,9027,11627,96,82,43,14,36.031,NAFISA I,70,44,964.0,30.349
419001201,18.924717,72.864094,18.924695835643465,72.86396013466539,14.275850452736947,8911,11954,99,80,63,18,35.968,WILCHIEF 1          ,39,63,987.0,31.71
419093100,18.95198,72.85842,18.9519,72.8583,15.440129640810206,9027,11674,56,32,41,9,36.031,MV CHANDRA NEPTUNE ,32,26,654.0,20.047
419000882,18.89536,72.843614,18.8955,72.8436,15.636807966785009,9061,12308,191,183,87,32,36.049,OAKTREE             ,80,173,1425.0,49.788
419078500,18.947727,72.863069,18.9476,72.863,15.877153604808878,8970,11710,69,57,47,12,36.0,OFFSHORE HUNTER,90,36,797.0,23.92
419058400,18.941906,72.85772,18.9418,72.8576,17.26877722958407,9013,11783,55,38,32,9,36.023,MV KAMRUP,52,20,322.0,9.013
419000147,18.962744,72.858776,18.9626,72.8587,17.89585184720099,9046,11558,46,25,39,8,36.041,SURYA SHAKTI,52,18,454.0,13.833
419001364,18.931621,72.866465,18.93152660000001,72.86632,18.514291964330045,8901,11876,87,67,55,15,35.963,PRIYA TWENTY THREE  ,90,53,896.0,28.286
419001117,18.92826,72.868201,18.92816597197194,72.868049376688,19.069792763392297,8876,11908,86,88,53,18,35.95,TAG 20              ,70,49,570.0,17.437
419093300,18.945485,72.863096,18.94535,72.86298000000002,19.34364111041682,8965,11734,63,56,42,14,35.998000000000005,OFFSHORE SUPPORTER,90,29,505.0,14.684
419000225,18.909177,72.87854499999999,18.909014917277588,72.87844573507778,20.82925208609886,8729,12092,76,67,46,16,35.87,VARAPRADA           ,52,38,542.0,16.172
419001057,18.943177,72.865432,18.942999999999998,72.86533,22.41524969802476,8936,11754,58,35,36,11,35.982,SEAWAYS 9 ,0,22,282.0,7.816
419083800,18.943099,72.859512,18.9429,72.8594,25.067755436858565,8997,11767,43,29,43,8,36.015,OCEAN NECTAR,52,21,472.0,13.862
419697000,18.946479,72.870848,18.9463,72.8707,25.26741622090614,8887,11708,77,52,46,15,35.955999999999996,MV SAGA,90,36,322.0,9.373
645314000,18.942584,72.86085899999999,18.9424,72.8607,26.42440505040734,8982,11769,80,63,47,15,36.007,M.V.BEAS DOLPHIN    ,90,40,322.0,8.925
419076800,18.947414000000002,72.86135999999999,18.94725405877579,72.86117056794241,26.70586836600513,8987,11717,67,47,36,10,36.009, OFFSHORE RUNNER    ,90,26,272.0,7.102
419000955,18.927386,72.860766,18.9272,72.8606,27.0669340972489,8951,11932,85,60,51,16,35.99,TAG15               ,90,47,467.0,14.585
419322000,18.930836,72.860499,18.93058675900276,72.86048000000002,27.786292615823413,8961,11896,54,35,37,8,35.995,SAMUDRA SHAUDHIKAMA ,99,22,234.0,6.331
419000372,18.951358,72.857422,18.9512,72.8572,29.219084687071287,9036,11682,54,32,45,10,36.036,MV.CHANDRA SUN      ,52,27,415.0,12.024
419001050,18.925898,72.869366,18.925693624110338,72.86917921063251,30.041026252222444,8859,11931,79,66,49,16,35.94,TAG 19              ,70,42,315.0,8.951
419000721,18.933936,72.86896800000001,18.93369513950259,72.8688380797879,30.067058010902176,8880,11846,84,69,47,16,35.952,TAG12               ,0,43,583.0,18.386
419000127,18.926871,72.862597,18.926656115013035,72.86240802371786,31.08099431277959,8931,11934,86,66,57,16,35.979,SCI URJA            ,99,53,567.0,17.824
419097600,18.935215,72.870292,18.935,72.8701,31.294464728650116,8869,11830,90,72,51,20,35.946,TAG-8               ,90,49,266.0,7.617
419562000,18.946248,72.865768,18.945999999999998,72.8656,32.751149034567774,8939,11721,87,67,51,16,35.984,CANARA PRIDE,90,48,367.0,10.57
419001106,18.93706,72.858281,18.9368,72.8581,34.61551488565824,8997,11834,68,49,42,13,36.015,MARIA               ,96,31,416.0,11.996
419098100,18.938612,72.858113,18.9383,72.858,36.67207792415766,9002,11817,91,64,44,18,36.016999999999996,TAG 7               ,90,41,571.0,17.216
419264000,18.941568,72.86200600000001,18.9413,72.8618,36.84374430550418,8968,11778,81,58,46,12,35.999,ALBATROSS 07  ,99,40,237.0,6.096
477166400,18.906458999999998,72.847998,18.9068,72.848,37.91805367769599,9039,12181,209,177,74,27,36.037,HAI SHENG           ,80,162,1107.0,37.336
