DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,LOA,TYPENAME
2019-11-27 11:14:00,533131038,1.30754,104.15111,273.0,0.1,3,1,9411288,ARWEN,9MRP8,84,87,23,7,12,5.5,PENGERANG,11-25 01:00,110,Chemical/Oil Products Tanker
2019-11-27 11:14:00,533170319,1.31791,104.08989,131.8,11.7,134,0,9101651,HARBOUR ZENITH,9WRV7,70,113,27,10,10,7.6,PORT_KLANG,11-28 11:30,140,Container Ship
2019-11-27 11:14:00,355902000,1.19623,105.01875,127.2,15.4,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:00,477712400,1.41223,104.47880,49.9,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:01,256728000,1.37139,104.63151,130.0,11.7,129,0,9670119,HARIS,9HA3991,70,168,17,6,24,9.8,JAKARTA,11-30 00:01,185,Container Ship
2019-11-27 11:14:01,533064300,1.34583,104.09565,34.9,0.0,269,1,8910782,YUHOMARU,9MPL6,80,65,16,8,2,4.5,644TO ORDER,03-30 07:00,81,Oil Products Tanker
2019-11-27 11:14:01,416462000,1.30828,104.05962,264.0,0.0,209,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:01,416462000,1.30828,104.05962,264.0,0.0,209,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:02,356565000,1.27438,104.09930,261.0,10.3,262,0,9444261,MOL PREMIUM,3EOJ7,70,220,73,28,12,13.7,SINGAPORE PEBGA,11-27 12:00,293,Container Ship
2019-11-27 11:14:02,376307000,1.34085,104.40332,47.9,12.8,52,0,9132703,WEST SCENT,J8B5348,70,118,28,20,5,8.5,HUMEN,12-02 18:00,146,Container Ship
2019-11-27 11:14:02,574383000,1.51853,104.55905,221.0,10.5,220,2,9404156,PETROLIMEX12,3WWL,80,102,27,10,10,6.3,EPBGC,11-27 20:00,129,Chemical/Oil Products Tanker
2019-11-27 11:14:04,566886000,1.56088,104.56948,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:04,533170482,1.41475,104.47000,51.0,14.8,52,0,9238870,DANUM 168,9WSY9,72,134,20,12,13,8.4,MY BTU,11-29 10:00,154,Container Ship
2019-11-27 11:14:04,319118900,1.28081,104.30318,81.9,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:04,356426000,1.10518,104.89137,311.6,15.3,313,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
2019-11-27 11:14:06,405000249,1.25662,104.21605,83.0,12.5,79,0,9217682,ZAHAB JAHAN,S2AO2,70,160,30,20,11,7.0,TANJUNG KAMPEH,11-28 18:00,190,Bulk Carrier
2019-11-27 11:14:06,533170354,1.33550,104.10316,304.7,0.2,55,0,9066186,SHIMA MARU       .,9WRZ2,80,70,20,2,11,5.5,,02-26 05:00,90,Oil Products Tanker
2019-11-27 11:14:06,355902000,1.19597,105.01910,126.2,15.4,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:07,533000330,1.33633,104.09288,54.0,0.0,106,0,9380025,NAUTICA JOHOR BAHRU,9MFE6,80,81,4,5,12,4.9,JOHOR ANCHORAGE,11-26 19:00,85,Oil Products Tanker
2019-11-27 11:14:07,477176700,1.43815,104.50733,48.1,11.1,51,0,8819976,MCC HA LONG,VRRR8,71,139,24,14,14,6.0,SGSIN=THSHT,11-30 11:00,163,Container Ship
2019-11-27 11:14:07,538005592,1.32381,104.33938,225.5,7.9,227,0,9308417,JEJU ISLAND,V7JM2,79,205,17,15,15,9.0,SG PEBGA,11-27 14:00,222,Container Ship
2019-11-27 11:14:07,477712400,1.41256,104.47918,49.9,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:07,525888888,1.05451,104.21071,345.1,0.1,511,8,9744972,BERKAT ANUGERAH 05,YBFP,80,70,5,7,7,2.2,TG UBAN,11-27 11:00,75,Oil Products Tanker
2019-11-27 11:14:10,566886000,1.56038,104.56918,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:10,319118900,1.28087,104.30357,82.0,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:10,533056300,1.31261,104.14276,305.1,0.1,47,1,9572874,ORKIM MERIT,9MLK8,80,69,33,14,5,5.8,PENGERANG,11-24 01:00,102,Oil Products Tanker
2019-11-27 11:14:10,356426000,1.10546,104.89105,311.5,15.3,313,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
2019-11-27 11:14:10,240271000,1.33077,104.10926,235.8,0.2,144,1,9282869,ANNITA,SWQH,70,0,190,0,32,11.0,TANJUNG LANGSAT,11-27 07:30,190,Bulk Carrier
2019-11-27 11:14:11,563546000,1.30808,104.06850,0.0,0.0,511,0,9087128,MARINE PRESTIGE,S6HA,80,37,16,5,4,0.0,,00-00 24:60,53,Oil Products Tanker
2019-11-27 11:14:11,356565000,1.27432,104.09898,261.0,10.3,262,0,9444261,MOL PREMIUM,3EOJ7,70,220,73,28,12,13.7,SINGAPORE PEBGA,11-27 12:00,293,Container Ship
2019-11-27 11:14:11,376307000,1.34125,104.40376,48.3,12.7,53,0,9132703,WEST SCENT,J8B5348,70,118,28,20,5,8.5,HUMEN,12-02 18:00,146,Container Ship
2019-11-27 11:14:11,416462000,1.30828,104.05962,272.0,0.0,209,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:11,416462000,1.30828,104.05962,272.0,0.0,209,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:12,355902000,1.19567,105.01950,126.9,15.3,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:12,256728000,1.37104,104.63193,130.2,11.7,128,0,9670119,HARIS,9HA3991,70,168,17,6,24,9.8,JAKARTA,11-30 00:01,185,Container Ship
2019-11-27 11:14:12,574383000,1.51818,104.55872,222.0,10.5,220,2,9404156,PETROLIMEX12,3WWL,80,102,27,10,10,6.3,EPBGC,11-27 20:00,129,Chemical/Oil Products Tanker
2019-11-27 11:14:13,533001350,1.32434,104.22804,350.7,0.1,64,0,9115573,STRAITS 3,9MPN8,80,61,14,3,9,4.2,PASIR GUDANG,11-21 05:00,75,Bunkering Tanker
2019-11-27 11:14:13,477712400,1.41289,104.47957,49.8,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:15,566886000,1.56002,104.56898,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:15,255805675,1.31208,104.32312,234.0,12.5,234,0,9248148,LISBON,CQGZ,71,13,264,20,20,8.0,THLCH>MYTPP,11-27 16:00,277,Container Ship
2019-11-27 11:14:15,525888888,1.05451,104.21071,345.1,0.0,511,8,9744972,BERKAT ANUGERAH 05,YBFP,80,70,5,7,7,2.2,TG UBAN,11-27 11:00,75,Oil Products Tanker
2019-11-27 11:14:16,319118900,1.28094,104.30396,81.6,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:16,356426000,1.10583,104.89067,311.6,15.3,313,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
2019-11-27 11:14:17,232011742,1.29340,104.09829,263.5,7.8,264,0,9739525,BERGE LOGAN,MBZU9,70,280,47,36,21,12.1,SG-PEJSB,11-27 11:00,327,Bulk Carrier
2019-11-27 11:14:17,533000075,1.32884,104.25658,0.0,0.0,511,0,8807246,TEGUH 9,9MYR7,80,56,12,3,12,0.0,,08-19 19:20,68,Oil Products Tanker
2019-11-27 11:14:17,405000249,1.25668,104.21667,83.0,12.4,79,0,9217682,ZAHAB JAHAN,S2AO2,70,160,30,20,11,7.0,TANJUNG KAMPEH,11-28 18:00,190,Bulk Carrier
2019-11-27 11:14:17,533000330,1.33633,104.09288,54.0,0.0,106,0,9380025,NAUTICA JOHOR BAHRU,9MFE6,80,81,4,5,12,4.9,JOHOR ANCHORAGE,11-26 19:00,85,Oil Products Tanker
2019-11-27 11:14:17,533170354,1.33550,104.10316,306.9,0.2,55,0,9066186,SHIMA MARU       .,9WRZ2,80,70,20,2,11,5.5,,02-26 05:00,90,Oil Products Tanker
2019-11-27 11:14:17,355902000,1.19545,105.01978,126.5,15.3,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:17,538005592,1.32356,104.33912,226.5,7.9,228,0,9308417,JEJU ISLAND,V7JM2,79,205,17,15,15,9.0,SG PEBGA,11-27 14:00,222,Container Ship
2019-11-27 11:14:17,441548000,1.29942,104.29005,253.5,15.1,255,0,9297527,ANL WENDOUREE,D9AW,71,223,71,12,20,11.7,MYPKG,11-29 05:00,294,Container Ship
2019-11-27 11:14:18,477176700,1.43852,104.50776,48.9,11.2,51,0,8819976,MCC HA LONG,VRRR8,71,139,24,14,14,6.0,SGSIN=THSHT,11-30 11:00,163,Container Ship
2019-11-27 11:14:19,477712400,1.41327,104.48002,49.9,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:19,466543000,1.47081,104.72338,267.8,15.4,269,0,9323027,MAJD,A7HR,70,178,69,10,22,8.2,MYTPP,11-27 17:00,247,Container Ship
2019-11-27 11:14:21,533170319,1.31721,104.09070,131.7,11.7,136,0,9101651,HARBOUR ZENITH,9WRV7,70,113,27,10,10,7.6,PORT_KLANG,11-28 11:30,140,Container Ship
2019-11-27 11:14:21,319118900,1.28099,104.30428,81.5,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:21,376307000,1.34163,104.40420,49.7,12.7,53,0,9132703,WEST SCENT,J8B5348,70,118,28,20,5,8.5,HUMEN,12-02 18:00,146,Container Ship
2019-11-27 11:14:21,416462000,1.30828,104.05962,270.0,0.0,208,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:22,566886000,1.55960,104.56873,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:22,256728000,1.37068,104.63235,129.8,11.8,128,0,9670119,HARIS,9HA3991,70,168,17,6,24,9.8,JAKARTA,11-30 00:01,185,Container Ship
2019-11-27 11:14:22,356565000,1.27425,104.09840,261.0,10.3,262,0,9444261,MOL PREMIUM,3EOJ7,70,220,73,28,12,13.7,SINGAPORE PEBGA,11-27 12:00,293,Container Ship
2019-11-27 11:14:22,356426000,1.10600,104.89033,311.8,15.3,313,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
2019-11-27 11:14:22,574383000,1.51785,104.55842,222.0,10.5,220,2,9404156,PETROLIMEX12,3WWL,80,102,27,10,10,6.3,EPBGC,11-27 20:00,129,Chemical/Oil Products Tanker
2019-11-27 11:14:23,533001350,1.32435,104.22804,351.0,0.6,65,0,9115573,STRAITS 3,9MPN8,80,61,14,3,9,4.2,PASIR GUDANG,11-21 05:00,75,Bunkering Tanker
2019-11-27 11:14:24,355902000,1.19520,105.02013,125.9,15.4,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:24,351663000,1.36922,104.46455,69.4,13.5,70,0,9163441,KANWAY GALAXY,3FUH7,70,150,43,20,8,8.0,ID_SRG,11-29 14:00,193,Container Ship
2019-11-27 11:14:24,563027990,1.29915,104.09299,320.4,0.3,511,0,9692533,STAR 2,9V2693,80,37,8,5,6,3.2,AEPB,11-25 11:00,45,Bunkering Tanker
2019-11-27 11:14:25,533170482,1.41567,104.47112,51.0,14.8,52,0,9238870,DANUM 168,9WSY9,72,134,20,12,13,8.4,MY BTU,11-29 10:00,154,Container Ship
2019-11-27 11:14:25,477712400,1.41360,104.48041,49.9,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:25,525888888,1.05451,104.21071,345.1,0.1,511,8,9744972,BERKAT ANUGERAH 05,YBFP,80,70,5,7,7,2.2,TG UBAN,11-27 11:00,75,Oil Products Tanker
2019-11-27 11:14:26,533170354,1.33550,104.10316,310.2,0.1,56,0,9066186,SHIMA MARU       .,9WRZ2,80,70,20,2,11,5.5,,02-26 05:00,90,Oil Products Tanker
2019-11-27 11:14:26,525100992,1.04028,104.21237,103.3,0.0,511,0,0,MT NOER POPPY,YCCR2,80,70,15,7,6,6.0,TG.UBAN,11-23 18:30,85,#N/A
