target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
1,104.204784,0.94292,864.0,195.0,2019-11-27 11:17:22.519,31.22,0,893,461.0,253.0,L,0.0,39.0,false,false,0,"0.0,0.0,8.608,8.947","0.0,0.0,132.391,352.079","0,0,341,836",
2,104.235652,0.948527,1213.0,185.0,2019-11-27 11:17:22.519,31.429,0,27,67.0,37.0,S,0.0,58.0,false,false,0,"0.0,0.0,5.838,6.135","0.0,0.0,121.468,299.436","0,0,220,504",
3,104.299044,0.949624,1906.0,52.0,2019-11-27 11:17:22.519,31.84,0,164,157.0,100.0,L,0.0,180.0,false,false,0,"0.0,0.0,21.004,61.855","0.0,0.0,113.214,286.689","0,0,626,3956",
4,104.290125,0.949251,1808.0,69.0,2019-11-27 11:17:22.519,31.782,0,185,158.0,118.0,L,0.0,122.0,false,false,0,"0.0,0.0,34.115,33.569","0.0,0.0,113.324,280.598","0,0,983,2124",
5,104.66332,1.030096,6057.0,80.0,2019-11-27 11:17:22.519,34.23,0,15,114.0,26.0,M,0.0,110.0,false,false,0,"0.0,0.0,3.204,4.445","0.0,0.0,109.649,187.879","0,0,121,241",
6,104.659537,1.03019,6016.0,90.0,2019-11-27 11:17:22.519,34.207,0,12,38.0,29.0,S,0.0,137.0,false,false,0,"0.0,0.0,6.028,6.692","0.0,0.0,110.473,188.583","0,0,191,335",
7,104.704144,1.036834,6517.0,59.0,2019-11-27 11:17:22.519,34.486,0,9,32.0,24.0,S,0.0,31.0,false,false,0,"0.0,0.0,0.202,3.729","0.0,0.0,101.956,139.266","0,0,41,158",
8,104.87068,1.084674,8440.0,189.0,2019-11-27 11:17:22.519,35.543,0,10,45.0,22.0,S,0.0,26.0,false,false,0,"0.0,0.0,2.394,3.304","0.0,0.0,109.576,158.598","0,0,104,171",
9,105.958421,1.300711,20778.0,19.0,2019-11-27 11:17:22.519,41.696,0,328,250.0,140.0,L,0.0,24.0,false,false,0,"0.0,0.0,2.612,5.264","0.0,0.0,48.746,149.553","0,0,50,232",
10,104.184519,0.941927,641.0,231.0,2019-11-27 11:17:22.519,31.086,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.888,7.006","0.0,0.0,130.085,334.272","0,0,99,516",
11,104.183128,0.94199,626.0,234.0,2019-11-27 11:17:22.519,31.077,0,3,149.0,12.0,L,0.0,117.0,false,false,0,"0.0,0.0,8.133,7.198","0.0,0.0,131.842,334.047","0,0,266,540",
12,104.222175,0.955032,1081.0,284.0,2019-11-27 11:17:22.519,31.35,0,53,145.0,38.0,L,0.0,12.0,false,false,0,"0.0,0.0,8.129,5.952","0.0,0.0,125.241,323.982","0,0,298,532",
13,104.220183,0.965889,1084.0,404.0,2019-11-27 11:17:22.519,31.352,0,90,133.0,67.0,L,0.0,22.0,false,false,0,"0.0,0.0,23.968,15.906","0.0,0.0,127.859,292.529","0,0,794,1148",
14,104.432692,1.009507,3498.0,385.0,2019-11-27 11:17:22.519,32.772,0,123,304.0,66.0,L,0.0,49.0,false,false,0,"0.0,0.0,4.082,3.992","0.0,0.0,139.173,401.861","0,0,194,488",
15,104.670334,1.049276,6177.0,268.0,2019-11-27 11:17:22.519,34.297,0,10,35.0,25.0,S,0.0,10.0,false,false,0,"0.0,0.0,0.398,5.77","0.0,0.0,109.806,192.972","0,0,54,340",
16,104.676662,1.054146,6257.0,305.0,2019-11-27 11:17:22.519,34.341,0,866,427.0,203.0,L,0.0,163.0,false,false,0,"0.0,0.0,8.33,16.56","0.0,0.0,108.111,185.98","0,0,266,770",
17,104.672995,1.055889,6221.0,332.0,2019-11-27 11:17:22.519,34.321,0,15,47.0,29.0,S,0.0,168.0,false,false,0,"0.0,0.0,1.162,4.028","0.0,0.0,113.293,220.367","0,0,82,316",
18,104.672549,1.057147,6219.0,347.0,2019-11-27 11:17:22.519,34.32,0,11,79.0,19.0,M,0.0,1.0,false,false,0,"0.0,0.0,1.319,3.12","0.0,0.0,116.164,229.721","0,0,90,278",
19,104.675171,1.064383,6264.0,417.0,2019-11-27 11:17:22.519,34.345,0,1804,604.0,327.0,L,0.0,8.0,false,false,0,"0.0,0.0,10.602,4.509","0.0,0.0,110.982,887.17","0,0,356,770",
20,104.672029,1.059201,6218.0,370.0,2019-11-27 11:17:22.519,34.32,0,33,72.0,45.0,M,0.0,5.0,false,false,0,"0.0,0.0,2.151,9.056","0.0,0.0,122.528,248.2","0,0,123,684",
21,104.704099,1.060368,6570.0,309.0,2019-11-27 11:17:22.519,34.516,0,112,181.0,72.0,L,0.0,9.0,false,false,0,"0.0,0.0,4.281,9.822","0.0,0.0,103.304,150.719","0,0,144,378",
22,104.706816,1.058784,6596.0,286.0,2019-11-27 11:17:22.519,34.53,0,14,42.0,31.0,S,0.0,153.0,false,false,0,"0.0,0.0,0.975,3.965","0.0,0.0,103.316,156.999","0,0,58,189",
