MMSI,LATITUDE,LONGITUDE,Diff,SPEED_BEFORE,LENGTH,BREADTH,NAME,AISTYPE
419900778,18.889548903180348,72.85122598489032,-37,6.8,0,0,,0
565653000,18.944478619639877,72.90736260434007,-35,9.9,268,32,WAN HAI 509         ,70
419001175,18.91609349635796,72.91138000000001,-36,0.0,0,0,MODAK,0
419901305,18.95324700967671,72.86588360696501,-33,2.8,70,13,M.V. SHARAVATI,70
419000346,18.939646206483296,72.8433919081682,-43,0.0,60,12,MV SUMAYLA ONE,90
419001070,18.912725016191217,72.86134398828696,-33,7.2,65,16,CREST MERCURY ONE   ,52
511195000,18.934972370020965,72.88089110178127,-184,0.1,78,12,VAKUL PREM,95
566596000,19.293022727450946,72.04579956125792,-45,5.0,0,0,,0
419001104,18.930566978233564,72.84623311607662,-32,5.8,48,8,WARSHIP 412        ,0
419001364,18.931526600000012,72.86632,-30,0.0,67,15,PRIYA TWENTY THREE  ,90
419701000,18.888548051672558,72.84727900249045,-29,6.8,70,17,OCEAN     DIAMOND   ,90
419093300,18.94535,72.86298000000001,-29,0.0,56,14,OFFSHORE SUPPORTER,90
419566000,18.941586874691357,72.840849025,-178,0.0,0,0,,0
419901776,18.9578,72.85086,-204,0.0,20,8,OM MALLIKARJUN,30
477759700,18.92283653341157,72.87163652728272,-28,12.1,275,40,MOL GRANDEUR,74
419055600,18.94529692650963,72.85695880206175,-27,0.9,47,11,ANTAREJA            ,33
419322000,18.93058675900276,72.86048000000001,-35,0.0,35,8,SAMUDRA SHAUDHIKAMA ,99
419074100,18.954888295298748,72.85387707086457,-35,0.1,0,0,MEENAKSHI           ,99
419611000,18.903906402734,72.87251119128615,-175,0.0,54,11,SEAMELODY,52
419001050,18.925693624110338,72.86917921063251,-24,0.1,66,16,TAG 19              ,70
419000127,18.926656115013035,72.86240802371786,-173,0.1,66,16,SCI URJA            ,99
419000860,18.93338,72.86687073325406,-167,0.0,0,0,,0
419000339,18.91517883749999,72.91106359999999,-31,0.0,13,4,T203                ,90
419001353,18.936913557352984,72.91453500053773,-28,4.6,0,0,,0
304921000,18.935280184107786,72.84455100758738,-20,1.3,189,32,HANNAH S,79
419001069,18.956752810987155,72.86173961448576,-31,0.1,0,0,,0
419000721,18.93369513950259,72.8688380797879,-167,0.0,69,16,TAG12               ,0
419060900,18.943750856632946,72.84132287923855,-29,0.0,36,10,TAG MAMTA           ,52
419901822,18.908029999999997,72.82561,-25,0.0,19,8,ANGARIKA,30
419000294,18.926776213017753,72.86434262984879,-27,0.0,66,16,SCI PAWAN           ,90
419047300,18.95655,72.84838,-19,0.0,34,7,MV RAAVI,90
419589000,18.94045865308642,72.85816340833333,-166,0.0,33,10,OCEAN VIKING        ,52
419076800,18.94725405877579,72.8611705679424,-24,0.1,47,10, OFFSHORE RUNNER    ,90
419000694,18.933431083335996,72.84203060119292,-23,7.3,0,0,T239,99
419001057,18.943,72.86533,-163,0.0,35,11,SEAWAYS 9 ,0
419100037,18.927276951092608,72.83857112382934,-13,0.0,0,0,,0
419017300,18.899962706162672,72.85469295613554,-12,9.5,122,20,DCI DREDGE_16,90
419001117,18.92816597197194,72.86804937668802,-11,0.1,88,18,TAG 20              ,70
419000185,18.936076111918176,72.84434092712847,-10,0.9,0,0,TAGRAJVIR,0
419000791,18.954908999306785,72.85393872523655,-11,0.1,188,30,VMS 21              ,90
419900905,18.901560616666668,72.8643871308642,-159,0.0,0,0,M.V.JAL SHAKTI 1,70
356799000,18.92673633698755,72.69078509747332,-157,0.1,190,32,SAGAR MOTI          ,70
616443000,18.946510000000004,72.84421351080246,-152,0.0,46,9,ASHENA              ,37
419093700,18.934857055284652,72.26759551347578,-142,0.1,0,0,,0
419001002,18.934873191666668,72.8603,-150,0.0,0,0,,0
419059400,18.9408,72.8576,-8,0.0,36,10,OCEAN CREST         ,52
419000225,18.909014917277588,72.87844573507778,-149,0.1,67,16,VARAPRADA           ,52
419088600,18.92936348454964,72.86113,-7,0.0,63,15,PFS COURAGE         ,52
419901772,18.95745,72.85070999999999,-156,0.0,13,4,SAIRAM,30
563609000,18.90476,72.87631477034058,-135,0.0,54,14,LANPAN 33           ,32
419001201,18.924695835643462,72.86396013466539,-139,0.0,80,18,WILCHIEF 1          ,39
419264000,18.9413,72.8618,-100,0.0,58,12,ALBATROSS 07  ,99
419097600,18.935,72.8701,-82,0.0,72,20,TAG-8               ,90
419001344,18.902,72.8644,-68,0.0,190,32,SRI GANESH          ,70
419104000,18.9563,72.8592,-39,0.0,82,14,NAFISA I,70
538007298,18.9004,72.8701,-278,0.0,199,32,INDIGO BREEZE       ,70
419001356,18.9467,72.8451,-68,0.0,120,17,KEDAR NATH          ,70
419090700,18.954,72.8623,-86,0.1,0,0,,0
419562000,18.946,72.8656,-42,0.0,67,16,CANARA PRIDE,90
419901712,18.9577,72.8505,-23,0.0,14,5,KAVI KANYA,30
419001106,18.9368,72.8581,-91,0.0,49,13,MARIA               ,96
419901205,18.9437,72.8458,-67,0.0,72,16,SEA MASTER-2        ,80
419083800,18.9429,72.8594,-84,0.0,29,8,OCEAN NECTAR,52
477202200,18.9342,72.363,-238,0.1,333,60,COSNEW LAKE,89
311043100,18.9113,72.8708,-45,0.0,190,32,SERENE JUNIPER      ,70
419551000,18.9121,72.8784,-11,0.1,57,13,SEA CONQUEST,52
419001375,18.9557,72.9087,-68,0.0,182,32,LOYALTY             ,81
419796000,19.0873,72.5514,-180,0.0,250,44,DESH SAMMAN         ,80
419901213,18.9092,72.8262,-277,0.0,0,0,VAIBHAV LAXMI,0
477112100,18.9052,72.8689,-19,0.1,199,32,PACIFIC ACTIVITY    ,70
419000359,18.9166,72.8742,-65,1.7,65,13,MPB-10,70
419901479,18.9039,72.8376,-88,0.0,19,8,DATTAGAGANGIRI MAULI,30
419465000,19.0456,72.5964,-178,0.2,238,38,MAHARSHI PARASHURAM ,80
419901485,18.8752,72.826,-207,5.7,0,0,,0
419901486,18.8739,72.825,-223,6.3,19,8,,30
419000882,18.8955,72.8436,-162,0.2,183,32,OAKTREE             ,80
419901235,18.8853,72.8295,-10,5.6,0,0,,0
419000372,18.9512,72.8572,-42,0.1,32,10,MV.CHANDRA SUN      ,52
366771000,18.941,72.8536,-20,0.0,199,32,ALLIANCE FAIRFAX    ,70
419000379,18.9519,72.8651,-127,0.0,29,9,AB3000 ,99
419000125,18.9213,72.8801,-15,0.0,65,16,S.C.I AHIMSA        ,99
477166400,18.9068,72.848,-125,0.1,177,27,HAI SHENG           ,80
419901762,18.909,72.8263,-6,0.9,16,6,GAJANAN SAI,30
419000645,18.9342,72.8626,-68,0.0,68,16,TAG 10              ,90
419000392,18.938,72.8599,-127,0.0,0,0,,0
419901513,18.9069,72.8274,-226,0.0,0,0,,0
419000147,18.9626,72.8587,-102,0.0,25,8,SURYA SHAKTI,52
572549210,18.938,72.8663,-49,0.1,81,18,ENERGY GIRL,70
538004315,18.9013,72.8511,-92,0.1,197,32,ANJELIQUE D         ,79
419000162,19.1249,71.8307,-33,6.8,0,0,,0
419078500,18.9476,72.863,-159,0.0,57,12,OFFSHORE HUNTER,90
419697000,18.9463,72.8707,-55,0.0,52,15,MV SAGA,90
341611000,18.9248,72.8668,-16,0.0,110,14,S CAS,52
419093100,18.9519,72.8583,-13,0.0,32,9,MV CHANDRA NEPTUNE ,32
477209200,18.9421,72.6924,-298,0.1,0,0,,0
419000955,18.9272,72.8606,-22,0.0,60,16,TAG15               ,90
636011643,18.9534,72.9082,-103,0.0,183,33,TROITSKY BRIDGE,89
636092031,18.8962,72.8688,-58,0.0,190,32,HAMMONIA KORSIKA    ,70
205744000,18.8808,72.8364,-102,0.1,207,36,VASCO DA GAMA       ,90
636014469,18.941,72.8993,-125,0.0,274,48,MIKELA P.           ,89
636092808,18.9156,72.876,-64,0.0,103,19,ALTUS UBER          ,34
419901834,18.9076,72.8278,-4,0.7,0,0,,0
419001227,18.8961,72.8628,-79,0.1,198,32,GANGA K             ,70
564175000,18.9294,72.8443,-21,0.0,176,28,IVS KNOT            ,70
354767000,18.9449,72.8438,-7,0.0,149,24,IBI                 ,70
419000218,19.2251,72.0601,-15,1.2,0,0,,0
419172000,18.9412,72.8425,-22,0.0,79,15,MV GURU PRASAD,72
419901603,18.9098,72.8265,-158,0.0,0,0,,0
355001000,18.9409,72.8437,-52,0.0,67,16, GOODMAN,99
419000490,18.8947,72.8667,-66,3.8,0,0,,0
419001268,19.0436,72.5666,-257,0.2,0,0,,0
419900862,18.9516,72.8466,-86,0.0,60,13,M.V. SAAHA,80
419012300,18.9932,72.5323,-17,6.0,0,0,,0
645314000,18.9424,72.8607,-75,0.0,63,15,M.V.BEAS DOLPHIN    ,90
419778000,18.9256,72.4224,-251,0.0,333,60,DESH VISHAL         ,81
419003606,18.9855,72.8981,-106,0.0,70,16,MPB III,70
419900630,18.9531,72.8546,-177,3.1,0,0,,0
419255000,18.9444,72.8609,-84,0.0,0,0,,0
419000285,18.9346,72.8449,-19,1.3,30,9,TAG LAXMI           ,52
419058400,18.9418,72.8576,-94,0.0,38,9,MV KAMRUP,52
248620000,18.9438,72.3578,-171,0.1,180,28,AQUARAMA            ,89
419098600,18.9078,72.8753,-53,0.0,73,16,GEO HINDSAGAR,90
419001071,18.9419,72.0829,-303,1.7,0,0,,0
305078000,18.9387,72.8413,-109,0.0,138,21,BBC CAROLINA        ,70
419098100,18.9383,72.858,-3,0.0,64,18,TAG 7               ,90
419901432,18.8874,72.8472,-39,7.1,0,0,,0
419001084,18.9603,72.8683,-240,0.1,0,0,,0
