vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
832,72.855976,18.952339,9053,11675,02:56.9,36.045,0,,21,56,33,S,0,26,FALSE,FALSE,0,"0.0,0.0,7.861,5.237","0.0,0.0,116.989,291.096","0,0,282,746"
833,72.860099,18.951672,9009,11674,02:56.9,36.021,0,,20,58,37,S,0,10,FALSE,FALSE,0,"0.0,0.0,9.241,5.178","0.0,0.0,117.346,298.15","0,0,332,762"
834,72.854228,18.953733,9074,11663,02:56.9,36.056,0,,14,40,31,S,0,76,FALSE,FALSE,0,"0.0,0.0,5.889,5.499","0.0,0.0,116.49,280.348","0,0,215,633"
835,72.879291,18.939471,8785,11767,02:56.9,35.901,3,AA,9,28,28,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.608,2.867","0.0,0.0,115.8,261.032","0,0,148,256"
836,72.853467,18.956647,9088,11634,02:56.9,36.064,3,AA,1,10,10,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.999,0.443","0.0,0.0,115.953,274.261","0,0,154,111"
837,72.904636,18.950303,8546,11601,02:56.9,35.772,0,,5,25,15,S,0,29,FALSE,FALSE,0,"0.0,0.0,3.172,2.008","0.0,0.0,126.924,315.234","0,0,151,402"
838,72.903698,18.95325,8562,11571,02:56.9,35.78,0,,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.162,1.43","0.0,0.0,124.006,323.274","0,0,142,285"
839,72.903617,18.953802,8564,11566,02:56.9,35.781,0,,3,18,12,S,0,55,FALSE,FALSE,0,"0.0,0.0,2.867,0.873","0.0,0.0,123.746,324.273","0,0,132,213"
841,72.94706,18.957012,8122,11446,02:56.9,35.542,0,,6,28,18,S,0,145,FALSE,FALSE,0,"0.0,0.0,3.631,1.193","0.0,0.0,246.369,3077.727","0,0,493,797"
843,72.857095,18.945959,9028,11741,02:56.9,36.031,0,,38,101,34,M,0,3,FALSE,FALSE,0,"0.0,0.0,9.288,5.146","0.0,0.0,116.486,1101.211","0,0,328,1032"
844,72.856246,18.948441,9042,11716,02:56.9,36.039,0,,39,79,44,M,0,15,FALSE,FALSE,0,"0.0,0.0,9.572,15.469","0.0,0.0,118.55,1170.058","0,0,343,2934"
845,72.860133,18.950413,9006,11687,02:56.9,36.02,0,,22,59,35,S,0,10,FALSE,FALSE,0,"0.0,0.0,14.593,6.358","0.0,0.0,117.39,292.107","0,0,496,1043"
846,72.857422,18.951358,9036,11682,02:56.9,36.036,0,,27,54,45,S,0,23,FALSE,FALSE,0,"0.0,0.0,12.024,25.822","0.0,0.0,117.106,291.004","0,0,415,3587"
847,72.85842,18.95198,9027,11674,02:56.9,36.031,0,,26,56,41,S,0,17,FALSE,FALSE,0,"0.0,0.0,20.047,21.254","0.0,0.0,116.787,293.421","0,0,654,2760"
848,72.859512,18.943099,8997,11767,02:56.9,36.015,0,,21,43,43,S,0,100,FALSE,FALSE,0,"0.0,0.0,13.862,2.567","0.0,0.0,116.827,1313.669","0,0,472,693"
849,72.860859,18.942584,8982,11769,02:56.9,36.007,0,,40,80,47,M,0,19,FALSE,FALSE,0,"0.0,0.0,8.925,25.869","0.0,0.0,117.037,1383.917","0,0,322,5766"
850,72.870877,18.940925,8875,11768,02:56.9,35.949,0,,76,134,57,L,0,44,FALSE,FALSE,0,"0.0,0.0,13.262,35.433","0.0,0.0,116.283,327.369","0,0,439,4026"
851,72.863157,18.943415,8960,11756,02:56.9,35.995,0,,37,80,45,M,0,23,FALSE,FALSE,0,"0.0,0.0,11.882,6.8","0.0,0.0,117.507,1352.579","0,0,416,1588"
852,72.865432,18.943177,8936,11754,02:56.9,35.982,0,,22,58,36,S,0,7,FALSE,FALSE,0,"0.0,0.0,7.816,4.054","0.0,0.0,116.036,313.424","0,0,282,700"
853,72.86117,18.944585,8983,11747,02:56.9,36.007,0,,34,79,39,M,0,14,FALSE,FALSE,0,"0.0,0.0,7.303,15.901","0.0,0.0,118.206,1355.63","0,0,276,3477"
854,72.869259,18.943907,8898,11739,02:56.9,35.961,0,,45,93,45,M,0,19,FALSE,FALSE,0,"0.0,0.0,22.15,29.362","0.0,0.0,116.596,318.56","0,0,700,3497"
855,72.863096,18.945485,8965,11734,02:56.9,35.998,0,,29,63,42,S,0,19,FALSE,FALSE,0,"0.0,0.0,14.684,14.136","0.0,0.0,118.283,1313.268","0,0,505,2954"
856,72.8741,18.943914,8848,11729,02:56.9,35.935,0,,33,68,44,S,0,140,FALSE,FALSE,0,"0.0,0.0,15.623,9.783","0.0,0.0,115.814,296.236","0,0,502,914"
857,72.865768,18.946248,8939,11721,02:56.9,35.984,0,,48,87,51,M,0,9,FALSE,FALSE,0,"0.0,0.0,10.57,29.689","0.0,0.0,116.556,304.373","0,0,367,3947"
858,72.86136,18.947414,8987,11717,02:56.9,36.009,0,,26,67,36,S,0,8,FALSE,FALSE,0,"0.0,0.0,7.102,13.403","0.0,0.0,118.896,1272.434","0,0,272,2786"
859,72.872702,18.945602,8866,11714,02:56.9,35.944,0,,28,83,33,M,0,173,FALSE,FALSE,0,"0.0,0.0,8.433,8.812","0.0,0.0,116.16,292.322","0,0,293,822"
860,72.870848,18.946479,8887,11708,02:56.9,35.956,0,,36,77,46,M,0,19,FALSE,FALSE,0,"0.0,0.0,9.373,24.475","0.0,0.0,116.217,302.117","0,0,322,2405"
861,72.863069,18.947727,8970,11710,02:56.9,36,0,,36,69,47,S,0,18,FALSE,FALSE,0,"0.0,0.0,23.92,46.482","0.0,0.0,118.462,1198.9","0,0,797,8672"
862,72.8624,18.949192,8980,11696,02:56.9,36.006,0,,14,37,37,S,0,100,FALSE,FALSE,0,"0.0,0.0,7.097,4.507","0.0,0.0,118.578,1170.214","0,0,272,986"
863,72.868984,18.948253,8910,11693,02:56.9,35.968,0,,44,83,49,M,0,22,FALSE,FALSE,0,"0.0,0.0,15.772,15.911","0.0,0.0,116.095,299.341","0,0,508,1652"
864,72.861585,18.950415,8991,11684,02:56.9,36.011,0,,25,62,37,S,0,5,FALSE,FALSE,0,"0.0,0.0,12.101,3.897","0.0,0.0,117.344,860.855","0,0,420,701"
865,72.868023,18.949235,8922,11684,02:56.9,35.974,0,,26,56,41,S,0,18,FALSE,FALSE,0,"0.0,0.0,9.931,21.981","0.0,0.0,115.712,293.732","0,0,338,2169"
866,72.865254,18.950369,8953,11678,02:56.9,35.991,0,,97,441,53,L,0,100,FALSE,FALSE,0,"0.0,0.0,12.728,46.311","0.0,0.0,115.828,294.942","0,0,427,4644"
867,72.874602,18.948744,8853,11677,02:56.9,35.937,0,,39,94,39,M,0,170,FALSE,FALSE,0,"0.0,0.0,6.159,15.562","0.0,0.0,115.181,246.124","0,0,221,958"
868,72.865215,18.952077,8957,11659,02:56.9,35.993,0,,26,60,39,S,0,15,FALSE,FALSE,0,"0.0,0.0,11.628,8.638","0.0,0.0,116.318,297.637","0,0,398,1034"
869,72.880847,18.938559,8767,11773,02:56.9,35.891,0,,10,35,25,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.599,4.713","0.0,0.0,116.124,259.917","0,0,89,355"
870,72.878148,18.940039,8798,11763,02:56.9,35.908,3,AA,19,101,24,M,0,2,FALSE,FALSE,0,"0.0,0.0,0.519,2.987","0.0,0.0,115.655,263.09","0,0,59,271"
