"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:58:01",477166400,18.90669,72.84819,309.5,0.1,215,9827944,"HAI SHENG           ","VRRP9  ",80,146,31,19,8,5.4,"FUJAIRAH            ","10-26 04:00"
"2018-10-23 00:58:01",419000392,18.93804,72.85991,289.5,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:01",419001175,18.91602,72.91138,218.7,0.2,211,0,"MODAK","AWRH",0,0,0,0,0,2.3,"MUMBAI","01-01 00:00"
"2018-10-23 00:58:02",419000346,18.93963,72.84346,219.3,0.1,511,8216552,"MV SUMAYLA ONE","AVNG",90,11,49,3,9,3.2,"MUMBAI PLT STN","10-22 06:00"
"2018-10-23 00:58:03",636014469,18.94097,72.89935,203.0,0.0,56,9440382,"MIKELA P.           ","A8UB7  ",89,231,43,32,16,10.3,"MUMBAI              ","10-22 03:30"
"2018-10-23 00:58:03",419901305,18.95243,72.86246,0.0,0.0,511,0,"M.V. SHARAVATI","8TYC",70,55,15,6,7,3.5,"MUMBAI","03-27 00:00"
"2018-10-23 00:58:03",419001104,18.92930,72.84059,152.9,0.7,140,412000045,"WARSHIP 412        ","AWOO",0,18,30,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:58:04",419001117,18.92811,72.86803,159.9,0.1,172,9126039,"TAG 20              ","AWPB   ",70,21,67,9,9,5.0,"BFL                 ","08-30 14:00"
"2018-10-23 00:58:05",419001071,18.94115,72.08527,287.8,1.7,299,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:05",419000339,18.91518,72.91109,203.0,0.0,234,0,"T203                ","AVMZ   ",90,5,8,2,2,0.9,"=                   ","00-00 24:60"
"2018-10-23 00:58:06",419060900,18.94382,72.84131,312.0,0.0,192,9371880,"TAG MAMTA           ","AULD   ",52,15,21,7,3,3.8,"MUMBAI              ","11-07 01:00"
"2018-10-23 00:58:07",419059400,18.94078,72.85760,66.7,0.0,511,8217568,"OCEAN CREST         ","AUJV   ",52,10,26,3,7,3.9,"P&V MUMBAI ANCHORAGE","10-21 21:00"
"2018-10-23 00:58:08",419901485,18.88291,72.82769,194.2,5.7,194,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:08",419000294,18.92679,72.86434,286.9,0.0,200,9547233,"SCI PAWAN           ","AVLI   ",90,20,46,5,11,5.0,"MUMBAI              ","10-19 18:00"
"2018-10-23 00:58:10",419055600,18.94521,72.85693,10.4,2.6,7,9142679,"ANTAREJA            ","AUIA   ",33,24,23,5,6,2.8,"MUMBAI              ","09-26 08:00"
"2018-10-23 00:58:10",565653000,18.93358,72.89370,58.0,11.8,58,9326421,"WAN HAI 509         ","9VJJ7  ",70,209,59,11,21,12.3,"NSA                 ","10-23 06:30"
"2018-10-23 00:58:10",477209200,18.94199,72.69238,16.0,0.1,321,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:11",419000694,18.93148,72.84127,200.1,0.3,511,0,"T239","AVYY",99,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:13",419100037,18.92721,72.83856,76.9,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:13",419017300,18.90897,72.86115,205.0,9.3,213,10267904,"DCI DREDGE_16","VWXU",90,30,92,11,9,0.0,"","00-00 00:00"
"2018-10-23 00:58:14",419001069,18.95677,72.86177,212.0,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
